date,city,lat,lon,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,rainfall_mm,aqi,risk_label
2024-01-01,Delhi,28.61,77.21,117.75,169.75,52.38,15.23,2.967,38.97,18.92,49.7,2.5,1.04,225.3,High
2024-01-02,Delhi,28.61,77.21,126.21,215.47,62.7,20.48,3.721,12.03,20.98,18.4,2.86,4.58,243.0,High
2024-01-03,Delhi,28.61,77.21,152.28,234.84,67.7,20.9,3.823,34.95,11.65,53.5,2.17,1.08,296.0,High
2024-01-04,Delhi,28.61,77.21,153.68,256.46,64.73,21.4,4.183,27.4,16.54,25.7,1.43,0.03,294.0,High
2024-01-05,Delhi,28.61,77.21,166.42,307.62,77.87,24.87,3.934,29.99,19.57,52.7,1.95,0.52,327.8,High
2024-01-06,Delhi,28.61,77.21,142.4,231.55,68.45,20.11,3.225,28.41,16.39,46.6,1.31,1.45,259.7,High
2024-01-07,Delhi,28.61,77.21,173.25,247.35,72.67,28.22,3.932,16.17,15.4,43.5,2.57,0.39,327.1,High
2024-01-08,Delhi,28.61,77.21,122.66,217.2,63.74,18.15,3.071,27.73,14.34,47.1,4.11,0.02,231.2,High
2024-01-09,Delhi,28.61,77.21,151.9,266.1,66.67,26.13,3.53,34.28,14.0,40.0,1.91,0.2,291.8,High
2024-01-10,Delhi,28.61,77.21,117.0,228.25,54.4,19.57,3.5,44.05,14.7,38.9,1.76,0.21,231.9,High
2024-01-11,Delhi,28.61,77.21,120.09,178.87,57.65,22.58,3.604,27.45,14.81,22.8,3.09,0.11,229.8,High
2024-01-12,Delhi,28.61,77.21,163.63,290.6,68.51,22.74,4.155,21.25,16.15,47.6,2.93,0.19,303.5,High
2024-01-13,Delhi,28.61,77.21,118.33,210.87,54.21,18.32,2.856,43.51,12.44,75.7,2.63,1.28,215.9,High
2024-01-14,Delhi,28.61,77.21,150.56,244.5,66.89,19.6,3.776,21.56,12.25,77.7,1.38,0.74,286.8,High
2024-01-15,Delhi,28.61,77.21,143.38,221.93,72.83,24.07,3.462,45.61,11.21,67.8,2.46,0.39,278.5,High
2024-01-16,Delhi,28.61,77.21,121.27,180.96,64.94,22.94,3.662,32.47,13.97,58.6,3.33,1.23,233.8,High
2024-01-17,Delhi,28.61,77.21,147.33,195.58,65.27,29.09,3.841,22.2,13.32,37.9,0.89,1.35,283.8,High
2024-01-18,Delhi,28.61,77.21,138.97,199.38,71.69,25.77,3.726,37.92,13.16,69.6,1.95,0.34,275.2,High
2024-01-19,Delhi,28.61,77.21,149.59,237.98,67.14,23.71,3.672,43.61,16.73,47.2,0.22,0.56,291.9,High
2024-01-20,Delhi,28.61,77.21,157.06,248.95,71.87,23.07,3.338,17.43,15.39,47.0,0.95,0.22,300.9,High
2024-01-21,Delhi,28.61,77.21,159.36,276.14,75.19,25.1,3.756,41.29,15.84,43.7,0.29,0.13,299.9,High
2024-01-22,Delhi,28.61,77.21,135.98,227.01,64.05,21.51,3.185,28.73,15.27,49.4,2.22,0.41,253.5,High
2024-01-23,Delhi,28.61,77.21,138.16,234.68,75.43,26.21,3.674,42.6,15.08,41.5,0.98,0.04,263.3,High
2024-01-24,Delhi,28.61,77.21,146.28,216.79,67.41,25.46,3.754,26.67,14.45,46.8,2.83,0.42,280.1,High
2024-01-25,Delhi,28.61,77.21,140.93,220.49,58.34,19.58,3.378,17.75,14.86,31.8,2.69,0.07,271.8,High
2024-01-26,Delhi,28.61,77.21,161.63,285.31,78.1,22.1,3.916,32.8,16.48,42.5,2.28,0.37,315.7,High
2024-01-27,Delhi,28.61,77.21,191.82,308.09,80.08,31.28,5.106,31.48,10.82,82.4,0.2,0.55,367.0,High
2024-01-28,Delhi,28.61,77.21,151.99,273.57,66.68,24.12,3.552,46.8,17.45,47.2,1.85,0.32,304.2,High
